Sample	CK_0d	CK_1d	CK_7d	CK_21d	CK_56d	CIP_A_0d	CIP_A_1d	CIP_A_7d	CIP_A_21d	CIP_A_56d	CIP_B_0d	CIP_B_1d	CIP_B_7d	CIP_B_21d	CIP_B_56d	CIP_C_0d	CIP_C_1d	CIP_C_7d	CIP_C_21d	CIP_C_56d	CIP_D_0d	CIP_D_1d	CIP_D_7d	CIP_D_21d	CIP_D_56d	TCS_A_0d	TCS_A_1d	TCS_A_7d	TCS_A_21d	TCS_A_56d	TCS_B_0d	TCS_B_1d	TCS_B_7d	TCS_B_21d	TCS_B_56d	TCS_C_0d	TCS_C_1d	TCS_C_7d	TCS_C_21d	TCS_C_56d	TCS_D_0d	TCS_D_1d	TCS_D_7d	TCS_D_21d	TCS_D_56d	CU_A_0d	CU_A_1d	CU_A_7d	CU_A_21d	CU_A_56d	CU_B_0d	CU_B_1d	CU_B_7d	CU_B_21d	CU_B_56d	CU_C_0d	CU_C_1d	CU_C_7d	CU_C_21d	CU_C_56d	CU_D_0d	CU_D_1d	CU_D_7d	CU_D_21d	CU_D_56d	TCS_CU_0d	TCS_CU_1d	TCS_CU_7d	TCS_CU_21d	TCS_CU_56d	CIP_TCS_0d	CIP_TCS_1d	CIP_TCS_7d	CIP_TCS_21d	CIP_TCS_56d	CIP_CU_0d	CIP_CU_1d	CIP_CU_7d	CIP_CU_21d	CIP_CU_56d	CIP_TCS_CU_0d	CIP_TCS_CU_1d	CIP_TCS_CU_7d	CIP_TCS_CU_21d	CIP_TCS_CU_56d	type	sum
macrolide-lincosamide-streptogramin__macB	0.003	0.002	0.002	0.002	0.002	0.004	0.002	0.002	0.003	0.002	0.003	0.003	0.002	0.003	0.004	0.003	0.001	0.003	0.003	0.002	0.003	0.001	0.002	0.003	0.003	0.003	0.002	0.002	0.003	0.002	0.004	0.002	0.002	0.004	0.002	0.003	0.002	0.004	0.005	0.002	0.003	0.001	0.002	0.002	0.003	0.002	0.003	0.003	0.004	0.004	0.002	0.002	0.003	0.004	0.003	0.003	0.003	0.006	0.002	0.004	0.002	0.001	0.004	0.006	0.003	0.003	0.002	0.001	0.013	0.002	0.002	0.001	0.012	0.004	0.004	0.003	0.001	0.025	0.008	0.002	0.002	0.001	0.017	0.002	0.003	macrolide-lincosamide-streptogramin	0.288
beta-lactam__metallo-beta-lactamase	9.49E-05	6.04E-05	1.30E-04	2.25E-05	9.64E-05	1.52E-04	1.17E-04	1.78E-05	1.20E-04	3.63E-05	2.18E-04	9.61E-05	8.74E-05	1.20E-04	2.43E-04	1.11E-05	0	6.79E-05	2.71E-04	2.00E-04	8.70E-06	8.27E-05	0.008	0.011	1.42E-04	1.16E-05	2.48E-05	4.98E-05	9.97E-05	3.80E-05	2.59E-04	5.27E-05	0.001	6.28E-05	8.18E-05	3.89E-05	0	0	1.74E-04	3.81E-05	4.34E-05	1.15E-05	2.07E-04	1.54E-04	1.12E-04	0	1.31E-04	7.61E-05	8.07E-05	7.31E-05	6.20E-05	2.67E-04	3.21E-05	0.004	1.10E-05	9.49E-06	0.001	1.90E-04	1.36E-04	7.90E-05	0	1.34E-05	0.008	0.005	2.20E-04	3.24E-05	1.22E-04	0.002	4.09E-04	0.004	1.87E-05	7.64E-06	0.002	0.001	0.004	4.26E-05	0	0.009	0.004	0.033	3.58E-05	3.77E-05	0.163	0.006	0.026	beta-lactam	0.29794103
bacitracin__bcrA	0.002	0.004	0.004	0.004	0.003	0.002	0.003	0.004	0.004	0.004	0.003	0.004	0.004	0.004	0.003	0.004	0.007	0.007	0.005	0.006	0.002	0.007	0.002	0.001	0.005	0.004	0.007	0.007	0.004	0.003	0.001	0.005	0.005	0.003	0.004	0.002	0.004	0.004	0.004	0.005	0.002	0.005	0.004	0.001	0.005	0.005	0.003	0.005	0.004	0.004	0.003	0.002	0.001	0.001	0.002	0.003	0.002	3.08E-04	2.55E-04	1.72E-04	0.005	0.002	8.55E-05	0.001	1.23E-05	0.004	0.001	2.09E-04	0	1.98E-05	0.002	0.006	3.06E-04	0.002	0.002	0.002	0.001	0	4.45E-04	1.30E-05	0.002	0.003	1.30E-05	2.41E-05	0	bacitracin	0.2468627
aminoglycoside__aac(6')-I	2.27E-04	5.19E-05	0	0	1.16E-04	2.39E-05	2.12E-04	0	1.85E-05	1.78E-05	6.78E-05	0	0	0.001	0.002	1.07E-04	4.46E-05	0.004	0.006	0.001	6.18E-05	2.68E-05	0	3.99E-04	0.003	1.80E-04	2.90E-05	3.98E-05	0	0	2.68E-04	1.63E-04	6.19E-05	0	3.42E-05	2.90E-04	1.65E-04	1.55E-04	0.002	8.32E-05	2.02E-04	1.57E-05	0.009	0	0	3.07E-04	0.001	5.33E-05	0	0	4.69E-04	4.51E-04	2.28E-04	0.001	0.003	3.04E-04	0	1.24E-04	4.92E-04	0.002	7.05E-05	0	0	0.001	0.026	7.47E-05	0	0	0	0	2.30E-04	4.57E-05	0.159	0.013	0.002	0.001	2.75E-04	6.14E-05	6.64E-05	0.003	1.05E-04	0	0.001	8.78E-05	3.55E-04	aminoglycoside	0.2478607
multidrug__smeB	5.16E-05	5.10E-06	1.76E-05	2.41E-05	2.36E-04	2.58E-05	6.24E-05	9.63E-05	1.02E-05	0	4.06E-05	2.46E-05	4.35E-05	5.54E-05	1.34E-05	2.89E-05	2.81E-05	1.25E-04	1.48E-04	9.08E-06	0	3.67E-04	0.006	0.002	4.04E-05	7.43E-06	4.30E-06	3.60E-05	1.57E-05	3.61E-06	0	5.86E-05	8.94E-05	2.61E-06	6.04E-05	3.60E-06	1.15E-05	1.75E-05	3.47E-05	0	0	3.40E-05	0	3.72E-05	7.02E-06	0	2.32E-05	2.38E-05	1.11E-04	1.98E-05	8.24E-06	6.17E-05	1.59E-05	2.76E-04	7.04E-05	0	4.90E-04	0.001	1.34E-04	1.53E-04	9.94E-06	1.95E-04	0.001	1.82E-04	1.87E-04	2.92E-05	9.88E-06	0.001	1.60E-04	1.44E-04	0	4.22E-06	0.003	2.01E-04	2.69E-04	2.22E-05	3.96E-05	0.004	2.27E-04	0.001	3.04E-05	0	0.156	0.004	0.001	multidrug	0.18497413
unclassified__transcriptional regulatory protein CpxR cpxR	0.001	0.001	0.001	0.001	0.002	0.002	0.002	0.001	0.002	0.001	0.002	0.001	0.001	0.002	0.001	0.002	4.05E-04	0.004	0.003	0.001	0.001	0.001	0.001	0.005	0.001	0.001	0.001	0.001	0.002	4.59E-04	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.002	4.39E-04	0.001	0.002	4.09E-04	0.001	0.002	0.002	0.002	0.006	0.001	0.002	0.003	0.004	0.002	0.001	0.002	0.004	0.003	0.002	0.001	0.001	0.006	0.007	0.004	0.001	0.001	0.019	0.008	0.004	0.001	0.001	0.002	0.002	0.003	0.001	4.98E-04	0.001	0.002	0.004	0.001	0.001	0.001	3.11E-04	0.002	unclassified	0.174521
multidrug__mexE	2.85E-05	1.82E-05	1.62E-04	6.19E-05	2.88E-05	2.02E-04	1.08E-04	6.87E-05	1.95E-04	1.16E-04	2.07E-04	0.001	7.38E-05	6.50E-05	4.13E-05	6.57E-05	2.05E-04	7.63E-05	3.17E-04	2.24E-05	3.38E-05	0	1.91E-05	0.001	3.08E-05	2.69E-05	6.23E-05	8.01E-05	2.22E-04	0	5.85E-05	7.43E-05	1.85E-04	8.46E-05	0	2.60E-05	2.03E-05	1.71E-04	9.00E-05	0	1.03E-05	7.98E-05	0.001	2.26E-04	5.38E-05	1.66E-05	1.97E-04	3.97E-05	6.72E-05	2.07E-05	2.06E-05	3.33E-04	1.16E-04	0.001	3.18E-05	5.57E-05	0.001	0.001	4.82E-05	6.95E-05	0	1.92E-04	0.002	0.001	1.05E-04	1.83E-05	0.001	0.001	0.001	2.97E-04	2.01E-05	0	0.008	0.001	1.87E-04	3.73E-05	5.53E-05	0.016	0.005	2.16E-04	1.16E-04	2.80E-05	0.125	0.003	2.26E-04	multidrug	0.1761312
aminoglycoside__aadA	2.69E-04	2.77E-04	4.71E-05	1.96E-05	2.03E-04	3.20E-04	3.25E-04	1.43E-04	2.06E-04	3.95E-04	4.51E-04	0.001	8.89E-05	4.89E-04	0.001	1.97E-04	3.59E-05	0.003	0.002	0.001	1.97E-04	2.56E-04	0.001	0.002	0.003	2.85E-04	2.42E-04	9.38E-05	3.38E-04	3.30E-05	4.09E-04	2.37E-04	1.10E-04	0.001	1.46E-04	0.001	1.59E-04	0	0.004	0.001	1.15E-04	5.33E-05	0.005	0.001	0.001	4.02E-04	0.001	1.82E-04	0.001	0.002	3.75E-04	0.001	0.001	0.002	0.001	3.32E-04	0.001	4.33E-04	0.002	0.002	2.57E-04	4.34E-05	0.001	0.002	0.006	3.18E-04	8.09E-05	0.011	0.001	2.60E-04	0.001	3.26E-04	0.011	0.001	0.002	0.001	3.18E-04	0.053	0.013	2.39E-04	0.001	2.69E-04	5.86E-05	1.42E-04	1.73E-04	aminoglycoside	0.1563495
multidrug__ceoB	1.70E-04	7.71E-05	0.001	3.63E-04	2.05E-04	1.56E-04	1.29E-04	3.31E-04	2.22E-04	1.28E-04	0.001	7.55E-05	0.001	2.10E-04	8.30E-05	1.62E-04	5.70E-05	0.001	0.001	6.62E-05	3.42E-04	1.19E-04	0.004	0.003	1.14E-04	2.11E-04	1.20E-04	7.67E-05	0.001	9.25E-05	2.58E-04	6.70E-05	0.001	0.001	1.04E-04	9.38E-05	1.77E-04	0.001	0.001	6.68E-05	1.14E-04	9.34E-05	0.002	2.84E-04	5.40E-05	1.53E-04	1.79E-04	2.99E-04	3.50E-04	1.15E-04	1.47E-04	3.57E-04	2.79E-04	0.001	2.00E-04	2.10E-04	0.001	0.001	0.001	2.77E-04	2.18E-04	2.66E-04	0.002	0.003	0.001	1.55E-04	8.88E-05	0.012	0.012	0.002	7.85E-05	4.30E-05	0.009	0.001	0.002	8.47E-05	9.34E-05	0.026	0.011	0.002	1.08E-04	8.23E-05	0.01	0.018	0.007	multidrug	0.1496057
fosmidomycin__rosA	2.22E-04	1.93E-04	1.59E-04	1.22E-04	1.26E-04	7.23E-05	5.91E-05	9.12E-05	2.23E-04	1.57E-04	2.43E-04	1.68E-04	9.19E-05	1.24E-04	6.71E-05	1.48E-04	9.18E-05	8.60E-05	9.84E-05	7.92E-06	6.91E-05	3.65E-05	3.51E-04	6.30E-05	1.06E-04	6.08E-05	5.31E-05	9.52E-05	2.47E-04	4.48E-05	1.37E-04	1.11E-04	1.29E-04	2.07E-04	4.67E-05	1.22E-04	1.05E-04	4.90E-05	1.22E-04	5.58E-05	1.06E-04	1.46E-04	1.14E-04	4.44E-05	6.75E-05	2.38E-05	1.54E-04	2.66E-05	2.67E-04	1.18E-04	1.19E-04	1.24E-04	3.03E-04	0.004	2.10E-04	3.58E-05	2.13E-04	0.002	8.66E-05	0.001	1.45E-04	2.37E-04	0.001	0.008	0.003	2.86E-05	1.04E-04	0.003	0.032	0.004	1.88E-04	4.62E-05	0.003	0.002	0.002	1.63E-04	2.19E-04	0.001	0.001	0.002	6.61E-05	9.81E-05	0.013	0.026	0.018	fosmidomycin	0.13421542
rifamycin__ADP-ribosylating transferase_arr	1.24E-04	1.29E-04	8.02E-05	3.13E-05	1.14E-04	2.19E-04	8.40E-05	1.94E-04	5.90E-05	7.97E-05	0	3.45E-04	1.35E-04	1.43E-04	1.91E-04	0	0	1.03E-04	2.80E-04	2.00E-04	1.27E-04	1.36E-04	5.20E-05	0.006	4.04E-04	3.28E-05	0	4.63E-05	6.88E-05	0	4.58E-05	7.57E-05	3.07E-05	1.43E-04	5.64E-05	1.67E-04	9.33E-05	1.90E-04	5.08E-05	4.90E-05	3.07E-05	4.66E-04	3.08E-04	4.79E-04	3.45E-04	0	1.39E-04	2.07E-05	1.32E-04	0.001	1.37E-04	0.001	3.22E-04	0	0.001	1.17E-04	2.77E-04	0.002	0.001	0	2.48E-05	8.39E-05	0.002	0.008	5.95E-05	4.92E-05	2.40E-04	0.001	7.74E-05	2.64E-04	4.36E-05	2.76E-05	0.075	0.008	0.004	3.58E-05	2.15E-04	3.85E-05	0.001	0.002	0	1.55E-04	0.001	0.004	0.004	rifamycin	0.1303675
multidrug__mexD	0.001	0.001	0.002	0.001	4.97E-04	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.006	0.001	4.68E-04	0.001	0.001	0.001	0.002	0.001	0.001	0.002	4.25E-04	0.001	0.001	3.23E-04	0.001	4.40E-04	0.002	3.95E-04	1.97E-04	2.37E-04	4.10E-04	0.001	0.001	4.94E-04	0.001	4.47E-04	0.001	0.001	0.001	0.001	0.001	0.001	3.56E-04	4.85E-04	0.001	0.001	3.48E-04	9.42E-05	0.003	0.002	0.002	0.001	4.52E-04	0.014	0.008	4.65E-04	4.38E-04	1.80E-04	0.002	1.83E-04	0.001	0.001	1.43E-04	0.008	0.005	0.001	0.001	1.53E-04	0.004	0.007	0.003	multidrug	0.1286302
multidrug__smeD	4.57E-05	6.29E-06	1.10E-04	1.39E-05	0	0	0	0	8.86E-05	0	0	0	0	0	0	0	1.17E-05	0	1.38E-04	1.46E-05	0	0	1.14E-04	0	0	0	1.61E-05	0	7.71E-06	0	3.93E-05	5.73E-05	3.98E-04	1.26E-05	1.64E-05	5.47E-05	0	8.22E-06	0	0	7.62E-05	5.23E-05	0	9.52E-06	0	2.11E-05	0	0	2.04E-05	0	1.10E-05	1.05E-05	8.29E-06	1.96E-04	2.45E-05	0	2.72E-05	4.20E-05	0	5.36E-05	0	1.47E-05	2.51E-04	8.47E-05	2.47E-05	0	0	0.002	6.17E-05	4.69E-05	0	0	1.76E-04	0	0	0	0	0.003	0.001	4.04E-04	0	0	0.116	0.002	0.001	multidrug	0.12776943
aminoglycoside__aph(3')-IIb	1.57E-05	0	0	0	0	0	0	0	6.86E-05	0	0	4.57E-05	0	0	0	0	0	0	1.25E-04	0	0	2.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23E-05	0	0	0	0	0	0	0	0	0	2.17E-05	0	0	0	0	2.05E-05	7.62E-05	0	0	4.71E-04	3.26E-04	0	0	0	8.86E-05	0	0	0	0	6.15E-05	0	0	0	0	0.111	0.003	3.13E-04	aminoglycoside	0.1156673
